Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,59.44,60.19,59.13,60.14,8552316.0,52.89,0.0,52.89,52.89
2016-01-05,2016,1,5,Tuesday,01,2016-01,59.87,60.42,59.66,60.24,6758176.0,52.97,0.001569622970244211,52.93,52.93
2016-01-06,2016,1,6,Wednesday,01,2016-01,59.09,59.56,58.24,58.6,13189653.0,51.53,-0.027162576357974033,52.46333333333333,52.46333333333333
2016-01-07,2016,1,7,Thursday,01,2016-01,57.56,58.75,57.54,57.84,11098847.0,50.86,-0.01310136344134294,52.0625,52.0625
2016-01-08,2016,1,8,Friday,01,2016-01,57.63,57.82,56.78,56.89,11919566.0,50.03,-0.016322152644770327,51.65599999999999,51.65599999999999
2016-01-11,2016,1,11,Monday,02,2016-02,57.33,57.52,56.59,56.95,11417283.0,50.08,0.0011062600609388351,51.39333333333334,51.39333333333334
2016-01-12,2016,1,12,Tuesday,02,2016-02,57.26,57.36,56.43,56.95,12231010.0,50.08,0.0,51.205714285714286,51.205714285714286
2016-01-13,2016,1,13,Wednesday,02,2016-02,57.06,57.06,55.64,55.9,13647603.0,49.16,-0.01845309207542256,50.95,50.95
2016-01-14,2016,1,14,Thursday,02,2016-02,56.06,56.38,55.29,56.02,11752085.0,49.26,0.002026586335751812,50.76222222222222,50.76222222222222
2016-01-15,2016,1,15,Friday,02,2016-02,54.75,55.42,53.79,53.89,16661618.0,47.39,-0.037973296441804916,50.425,50.425
2016-01-19,2016,1,19,Tuesday,03,2016-03,54.34,54.34,53.16,53.64,11869830.0,47.17,-0.004554489127724937,50.129090909090905,50.129090909090905
2016-01-20,2016,1,20,Wednesday,03,2016-03,53.14,53.86,52.48,53.39,15256307.0,46.95,-0.004810086066584285,49.86416666666667,49.86416666666667
2016-01-21,2016,1,21,Thursday,03,2016-03,53.39,54.62,53.2,53.85,9125468.0,47.35,0.008723421371464202,49.67076923076923,49.67076923076923
2016-01-22,2016,1,22,Friday,03,2016-03,54.72,54.99,54.05,54.34,7384719.0,47.79,0.009115285259168715,49.53642857142857,49.53642857142857
2016-01-25,2016,1,25,Monday,04,2016-04,54.11,54.22,53.3,53.43,16595516.0,46.98,-0.016792077924348336,49.114285714285714,49.366
2016-01-26,2016,1,26,Tuesday,04,2016-04,53.68,54.42,53.62,53.9,11748748.0,47.4,0.008833955828272178,48.71642857142857,49.243125
2016-01-27,2016,1,27,Wednesday,04,2016-04,53.93,55.11,53.34,54.0,12845317.0,47.49,0.0018678719426463708,48.42785714285714,49.14
2016-01-28,2016,1,28,Thursday,04,2016-04,54.31,54.88,54.07,54.41,9148191.0,47.84,0.007458441642214764,48.21214285714286,49.06777777777778
2016-01-29,2016,1,29,Friday,04,2016-04,54.67,55.19,54.6,55.19,12533238.0,48.53,0.014343424742927935,48.105000000000004,49.03947368421053
2016-02-01,2016,2,1,Monday,05,2016-05,54.79,55.28,54.41,55.1,8003634.0,48.46,-0.0014824727604768606,47.989285714285714,49.0105
2016-02-02,2016,2,2,Tuesday,05,2016-05,54.23,54.58,53.54,53.76,11754945.0,47.27,-0.024440316808075013,47.78857142857142,48.92761904761905
2016-02-03,2016,2,3,Wednesday,05,2016-05,54.12,54.35,53.05,54.1,13197440.0,47.57,0.0063216581146452455,47.675,48.86590909090909
2016-02-04,2016,2,4,Thursday,05,2016-05,54.18,55.83,54.14,55.46,9409581.0,48.77,0.025128103965088355,47.64,48.86173913043478
2016-02-05,2016,2,5,Friday,05,2016-05,55.41,55.7,55.03,55.28,8289495.0,48.61,-0.0031775630459297544,47.72714285714286,48.85125
2016-02-08,2016,2,8,Monday,06,2016-06,54.97,55.0,54.01,54.61,10897998.0,48.02,-0.012067338534851313,47.78785714285715,48.818000000000005
2016-02-09,2016,2,9,Tuesday,06,2016-06,54.29,55.24,54.08,54.9,11696470.0,48.28,0.005300850722438799,47.88285714285714,48.79730769230769
2016-02-10,2016,2,10,Wednesday,06,2016-06,54.98,55.66,54.59,54.73,5750273.0,48.12,-0.0032097732986494654,47.93785714285714,48.77222222222222
2016-02-11,2016,2,11,Thursday,06,2016-06,53.74,54.47,52.77,53.28,12254050.0,46.85,-0.026448761756553196,47.87071428571429,48.70357142857143
2016-02-12,2016,2,12,Friday,06,2016-06,53.49,54.2,53.43,54.09,9353331.0,47.57,0.01523740633357673,47.91285714285714,48.664482758620686
2016-02-16,2016,2,16,Tuesday,07,2016-07,54.97,55.07,53.85,54.42,11060076.0,47.86,0.006166306209590022,47.94571428571429,48.63766666666667
2016-02-17,2016,2,17,Wednesday,07,2016-07,54.57,55.69,54.52,55.46,8169208.0,49.13,0.02656104707097473,48.06285714285714,48.65354838709678
2016-02-18,2016,2,18,Thursday,07,2016-07,55.73,56.04,55.48,55.61,7941345.0,49.26,0.002723424251574569,48.16428571428571,48.6725
2016-02-19,2016,2,19,Friday,07,2016-07,55.6,56.0,55.02,55.53,18778008.0,49.19,-0.00147110727653732,48.21142857142858,48.68818181818182
2016-02-22,2016,2,22,Monday,08,2016-08,56.13,59.73,55.93,58.13,34685169.0,51.5,0.04692284284460646,48.42857142857143,48.77088235294118
2016-02-23,2016,2,23,Tuesday,08,2016-08,58.04,58.17,56.95,57.65,18381075.0,51.07,-0.008336124658689159,48.699999999999996,48.836571428571425
2016-02-24,2016,2,24,Wednesday,08,2016-08,57.34,59.25,57.34,58.91,27002354.0,52.19,0.021943409055785068,49.03000000000001,48.929722222222225
2016-02-25,2016,2,25,Thursday,08,2016-08,59.1,62.13,58.96,61.72,26794989.0,54.68,0.04764435833233005,49.45214285714285,49.08513513513514
2016-02-26,2016,2,26,Friday,08,2016-08,63.06,63.28,60.73,61.48,23286477.0,54.47,-0.0038746325845604446,49.87071428571429,49.22684210526315
2016-02-29,2016,2,29,Monday,09,2016-09,61.32,62.22,60.74,60.81,14069324.0,53.87,-0.010953169328324353,50.28857142857142,49.345897435897434
2016-03-01,2016,3,1,Tuesday,09,2016-09,58.04,59.82,57.94,59.82,19630347.0,52.99,-0.01624927379248442,50.625,49.437
2016-03-02,2016,3,2,Wednesday,09,2016-09,59.63,60.42,59.41,60.12,8655760.0,53.26,0.00505001242815295,50.99214285714286,49.530243902439025
2016-03-03,2016,3,3,Thursday,09,2016-09,59.91,60.51,59.83,60.48,7306063.0,53.58,0.006071622541783173,51.472857142857144,49.62666666666667
2016-03-04,2016,3,4,Friday,09,2016-09,60.52,61.23,60.28,61.04,7427145.0,54.08,0.009260062791646151,51.93785714285714,49.730232558139534
2016-03-07,2016,3,7,Monday,10,2016-10,60.76,61.33,60.45,60.99,10022776.0,54.04,-0.0008247955275245689,52.37928571428571,49.82818181818182
2016-03-08,2016,3,8,Tuesday,10,2016-10,60.5,61.35,60.5,60.98,8507665.0,54.02,-0.00020621025369715884,52.728571428571435,49.92133333333334
2016-03-09,2016,3,9,Wednesday,10,2016-10,61.25,61.35,60.67,60.79,6608492.0,53.86,-0.0030958394767265363,53.057142857142864,50.006956521739134
2016-03-10,2016,3,10,Thursday,10,2016-10,60.79,61.12,59.82,60.53,7640865.0,53.62,-0.004348158986127948,53.37357142857143,50.083829787234045
2016-03-11,2016,3,11,Friday,10,2016-10,61.16,61.45,60.71,60.89,6405418.0,53.94,0.005926371202959357,53.54785714285714,50.16416666666667
2016-03-14,2016,3,14,Monday,11,2016-11,60.6,61.28,60.6,60.94,6315481.0,53.99,0.0008269268835534582,53.75642857142857,50.24224489795918
2016-03-15,2016,3,15,Tuesday,11,2016-11,60.45,60.86,60.34,60.6,4369909.0,53.68,-0.005576738270209103,53.86285714285714,50.31100000000001
2016-03-16,2016,3,16,Wednesday,11,2016-11,60.54,61.67,60.42,61.35,7306699.0,54.35,0.012462234629837088,53.839285714285715,50.3402
2016-03-17,2016,3,17,Thursday,11,2016-11,61.56,62.47,61.29,62.2,6619933.0,55.11,0.013847671958934438,53.885,50.383
2016-03-18,2016,3,18,Friday,11,2016-11,62.44,63.12,62.19,62.33,15106464.0,55.22,0.0021246360871918224,53.98142857142857,50.4568
2016-03-21,2016,3,21,Monday,12,2016-12,62.35,62.68,62.17,62.41,6350756.0,55.29,0.0012114840230277313,54.145714285714284,50.5454
2016-03-22,2016,3,22,Tuesday,12,2016-12,62.1,62.47,61.87,62.09,5578026.0,55.01,-0.005142818427324225,54.270714285714284,50.645
2016-03-23,2016,3,23,Wednesday,12,2016-12,62.16,62.6,61.85,62.37,5140892.0,55.26,0.004561405844796695,54.39071428571428,50.748599999999996
2016-03-24,2016,3,24,Thursday,12,2016-12,61.77,62.35,61.67,62.34,4523883.0,55.23,-0.0005047209809770914,54.472857142857144,50.8516
2016-03-28,2016,3,28,Monday,13,2016-13,62.28,62.49,62.08,62.25,3622443.0,55.15,-0.0015140296396167763,54.55214285714285,50.9714
2016-03-29,2016,3,29,Tuesday,13,2016-13,61.93,63.13,61.72,63.01,5985127.0,55.82,0.01223319037078019,54.68071428571428,51.102599999999995
2016-03-30,2016,3,30,Wednesday,13,2016-13,63.45,63.56,62.87,63.09,4784002.0,55.89,0.0012984489753631312,54.825714285714284,51.272600000000004
2016-03-31,2016,3,31,Thursday,13,2016-13,62.98,63.2,62.3,63.0,6089843.0,55.81,-0.0014962622790866131,54.982142857142854,51.4454
2016-04-01,2016,4,1,Friday,13,2016-13,62.55,63.22,62.19,62.91,6416541.0,55.74,-0.0012985716941719128,55.11071428571428,51.6212
2016-04-04,2016,4,4,Monday,14,2016-14,63.12,63.68,62.81,63.1,5891059.0,55.9,0.0030008373188221693,55.24714285714286,51.7922
2016-04-05,2016,4,5,Tuesday,14,2016-14,62.78,63.15,62.52,62.84,4958316.0,55.67,-0.004089044882119253,55.38928571428572,51.949799999999996
2016-04-06,2016,4,6,Wednesday,14,2016-14,62.67,63.27,61.94,63.17,8056866.0,55.96,0.005107283442514543,55.50428571428572,52.129400000000004
2016-04-07,2016,4,7,Thursday,14,2016-14,62.87,63.82,62.72,63.49,6109228.0,56.25,0.005180585986472641,55.58571428571429,52.306400000000004
2016-04-08,2016,4,8,Friday,14,2016-14,63.84,64.41,63.54,63.76,4378490.0,56.49,0.004262352293555871,55.67642857142857,52.486399999999996
2016-04-11,2016,4,11,Monday,15,2016-15,63.93,64.78,63.63,64.28,7283182.0,56.95,0.008093067712553692,55.795,52.668600000000005
2016-04-12,2016,4,12,Tuesday,15,2016-15,64.37,65.12,64.37,64.87,5066844.0,57.47,0.00920292927292099,55.97071428571429,52.8474
2016-04-13,2016,4,13,Wednesday,15,2016-15,65.22,65.92,65.2,65.83,5822891.0,58.32,0.01484296358789039,56.189285714285724,53.0446
2016-04-14,2016,4,14,Thursday,15,2016-15,66.08,66.35,63.72,65.88,8290290.0,58.36,0.0006691708083506054,56.41285714285714,53.266400000000004
2016-04-15,2016,4,15,Friday,15,2016-15,65.75,66.18,65.58,65.81,5982108.0,58.3,-0.0010507015287364307,56.63785714285715,53.480999999999995
2016-04-18,2016,4,18,Monday,16,2016-16,65.85,66.29,65.47,66.16,4463660.0,58.61,0.005355282624539992,56.83714285714286,53.6778
2016-04-19,2016,4,19,Tuesday,16,2016-16,66.46,66.89,65.77,66.08,6118445.0,58.54,-0.0012367009255341843,57.026428571428575,53.876400000000004
2016-04-20,2016,4,20,Wednesday,16,2016-16,66.34,66.78,66.21,66.41,6075383.0,58.84,0.00504780669918703,57.24285714285715,54.092800000000004
